Wavelength	OD
799.000000 0.017408
798.000000 0.018275
797.000000 0.016452
796.000000 0.014589
795.000000 0.014514
794.000000 0.014534
793.000000 0.014311
792.000000 0.012628
791.000000 0.013815
790.000000 0.011371
789.000000 0.011206
788.000000 0.016830
787.000000 0.020152
786.000000 0.017787
785.000000 0.018971
784.000000 0.020712
783.000000 0.018449
782.000000 0.019005
781.000000 0.020791
780.000000 0.018782
779.000000 0.018141
778.000000 0.023609
777.000000 0.022765
776.000000 0.019727
775.000000 0.020827
774.000000 0.023280
773.000000 0.021486
772.000000 0.021620
771.000000 0.019683
770.000000 0.016659
769.000000 0.017634
768.000000 0.017146
767.000000 0.017497
766.000000 0.017619
765.000000 0.019220
764.000000 0.017762
763.000000 0.019287
762.000000 0.022131
761.000000 0.021983
760.000000 0.025380
759.000000 0.025051
758.000000 0.025466
757.000000 0.025421
756.000000 0.026629
755.000000 0.025049
754.000000 0.023212
753.000000 0.022027
752.000000 0.019470
751.000000 0.018959
750.000000 0.019683
749.000000 0.020771
748.000000 0.021041
747.000000 0.021686
746.000000 0.023371
745.000000 0.025494
744.000000 0.025312
743.000000 0.020062
742.000000 0.022759
741.000000 0.017853
740.000000 0.018027
739.000000 0.018836
738.000000 0.019994
737.000000 0.023274
736.000000 0.022933
735.000000 0.020780
734.000000 0.022287
733.000000 0.022440
732.000000 0.021825
731.000000 0.021724
730.000000 0.021950
729.000000 0.019587
728.000000 0.021858
727.000000 0.023336
726.000000 0.022788
725.000000 0.024116
724.000000 0.023313
723.000000 0.024088
722.000000 0.024442
721.000000 0.023479
720.000000 0.023486
719.000000 0.024372
718.000000 0.024600
717.000000 0.024072
716.000000 0.026932
715.000000 0.028853
714.000000 0.030061
713.000000 0.032790
712.000000 0.032899
711.000000 0.034043
710.000000 0.034715
709.000000 0.034462
708.000000 0.033067
707.000000 0.032705
706.000000 0.032181
705.000000 0.032382
704.000000 0.033305
703.000000 0.033894
702.000000 0.035870
701.000000 0.037472
700.000000 0.040992
699.000000 0.041703
698.000000 0.044114
697.000000 0.045981
696.000000 0.047238
695.000000 0.047694
694.000000 0.048720
693.000000 0.051231
692.000000 0.053614
691.000000 0.056733
690.000000 0.058764
689.000000 0.061162
688.000000 0.062923
687.000000 0.066079
686.000000 0.069783
685.000000 0.071743
684.000000 0.074093
683.000000 0.077946
682.000000 0.082143
681.000000 0.086282
680.000000 0.091612
679.000000 0.096644
678.000000 0.099630
677.000000 0.105336
676.000000 0.109457
675.000000 0.115063
674.000000 0.122214
673.000000 0.128205
672.000000 0.136636
671.000000 0.145899
670.000000 0.156338
669.000000 0.169609
668.000000 0.183891
667.000000 0.199205
666.000000 0.215321
665.000000 0.236449
664.000000 0.258162
663.000000 0.283862
662.000000 0.315475
661.000000 0.348874
660.000000 0.387637
659.000000 0.431293
658.000000 0.482682
657.000000 0.540633
656.000000 0.606125
655.000000 0.679523
654.000000 0.758382
653.000000 0.846579
652.000000 0.945995
651.000000 1.052080
650.000000 1.163643
649.000000 1.282362
648.000000 1.401615
647.000000 1.529505
646.000000 1.661870
645.000000 1.795684
644.000000 1.922308
643.000000 2.049061
642.000000 2.155273
641.000000 2.263593
640.000000 2.353721
639.000000 2.427316
638.000000 2.477280
637.000000 2.511791
636.000000 2.516354
635.000000 2.492683
634.000000 2.462902
633.000000 2.410573
632.000000 2.353864
631.000000 2.291003
630.000000 2.220883
629.000000 2.153925
628.000000 2.082259
627.000000 2.014763
626.000000 1.935311
625.000000 1.865898
624.000000 1.805185
623.000000 1.739052
622.000000 1.674846
621.000000 1.618900
620.000000 1.561057
619.000000 1.508795
618.000000 1.465266
617.000000 1.423052
616.000000 1.383046
615.000000 1.347593
614.000000 1.317680
613.000000 1.287296
612.000000 1.262280
611.000000 1.236993
610.000000 1.218086
609.000000 1.197881
608.000000 1.179111
607.000000 1.165765
606.000000 1.154328
605.000000 1.144184
604.000000 1.139219
603.000000 1.139772
602.000000 1.138448
601.000000 1.144882
600.000000 1.155927
599.000000 1.168155
598.000000 1.184892
597.000000 1.207488
596.000000 1.231507
595.000000 1.258692
594.000000 1.289226
593.000000 1.321435
592.000000 1.354390
591.000000 1.389978
590.000000 1.421590
589.000000 1.450996
588.000000 1.473779
587.000000 1.491039
586.000000 1.504535
585.000000 1.512243
584.000000 1.511264
583.000000 1.502006
582.000000 1.488741
581.000000 1.473144
580.000000 1.451874
579.000000 1.426626
578.000000 1.401057
577.000000 1.373618
576.000000 1.346365
575.000000 1.320162
574.000000 1.296903
573.000000 1.274953
572.000000 1.258629
571.000000 1.244391
570.000000 1.232405
569.000000 1.221519
568.000000 1.215311
567.000000 1.208111
566.000000 1.201654
565.000000 1.195524
564.000000 1.187994
563.000000 1.178247
562.000000 1.168169
561.000000 1.156173
560.000000 1.140887
559.000000 1.127512
558.000000 1.111748
557.000000 1.096028
556.000000 1.078454
555.000000 1.064643
554.000000 1.049078
553.000000 1.033647
552.000000 1.020519
551.000000 1.007353
550.000000 0.994954
549.000000 0.982852
548.000000 0.972753
547.000000 0.962334
546.000000 0.951601
545.000000 0.942320
544.000000 0.930141
543.000000 0.920923
542.000000 0.910805
541.000000 0.899181
540.000000 0.887859
539.000000 0.873897
538.000000 0.859915
537.000000 0.847547
536.000000 0.836034
535.000000 0.823502
534.000000 0.810729
533.000000 0.801163
532.000000 0.792998
531.000000 0.785917
530.000000 0.781366
529.000000 0.775993
528.000000 0.773584
527.000000 0.770642
526.000000 0.767409
525.000000 0.763814
524.000000 0.754732
523.000000 0.746127
522.000000 0.734834
521.000000 0.727063
520.000000 0.713036
519.000000 0.708873
518.000000 0.704632
517.000000 0.700283
516.000000 0.690490
515.000000 0.681686
514.000000 0.672338
513.000000 0.660986
512.000000 0.650756
511.000000 0.642111
510.000000 0.631861
509.000000 0.623144
508.000000 0.613165
507.000000 0.603714
506.000000 0.594567
505.000000 0.585449
504.000000 0.577405
503.000000 0.568818
502.000000 0.558564
501.000000 0.546636
500.000000 0.538115
499.000000 0.528202
498.000000 0.518872
497.000000 0.510172
496.000000 0.502341
495.000000 0.494030
494.000000 0.487677
493.000000 0.481923
492.000000 0.475749
491.000000 0.469666
490.000000 0.464011
489.000000 0.459175
488.000000 0.453611
487.000000 0.447256
486.000000 0.441791
485.000000 0.438095
484.000000 0.432809
483.000000 0.429162
482.000000 0.423806
481.000000 0.418903
480.000000 0.414848
479.000000 0.410894
478.000000 0.406960
477.000000 0.402897
476.000000 0.400724
475.000000 0.396301
474.000000 0.395282
473.000000 0.393010
472.000000 0.389508
471.000000 0.386190
470.000000 0.382188
469.000000 0.378244
468.000000 0.373136
467.000000 0.368657
466.000000 0.362294
465.000000 0.356053
464.000000 0.350457
463.000000 0.346022
462.000000 0.343409
461.000000 0.337829
460.000000 0.333988
459.000000 0.330886
458.000000 0.328507
457.000000 0.324679
456.000000 0.320418
455.000000 0.316336
454.000000 0.311631
453.000000 0.308847
452.000000 0.305082
451.000000 0.302339
450.000000 0.298032
449.000000 0.295726
448.000000 0.293209
447.000000 0.290517
446.000000 0.288073
445.000000 0.285836
444.000000 0.283245
443.000000 0.279749
442.000000 0.277024
441.000000 0.274085
440.000000 0.272289
439.000000 0.269557
438.000000 0.268459
437.000000 0.265470
