TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	25/03/18
TIME	16:56:29
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	800.0000
LASTX	400.0000
NPOINTS	401
FIRSTY	2.96658
MAXY	3.12991
MINY	0.00516
XYDATA
800.0000	296.658
799.0000	295.897
798.0000	290.369
797.0000	289.789
796.0000	291.877
795.0000	287.498
794.0000	291.174
793.0000	288.373
792.0000	287.376
791.0000	288.587
790.0000	292.472
789.0000	294.653
788.0000	293.044
787.0000	292.26
786.0000	288.121
785.0000	286.625
784.0000	285.861
783.0000	284.372
782.0000	286.097
781.0000	284.693
780.0000	284.855
779.0000	283.931
778.0000	287.029
777.0000	292.05
776.0000	292.2
775.0000	294.278
774.0000	289.67
773.0000	291.271
772.0000	291.444
771.0000	292.187
770.0000	290.415
769.0000	288.294
768.0000	289.388
767.0000	289.56
766.0000	292.251
765.0000	290.786
764.0000	294.356
763.0000	294.933
762.0000	296.345
761.0000	295.026
760.0000	296.042
759.0000	295.112
758.0000	295.695
757.0000	297.145
756.0000	292.934
755.0000	295.844
754.0000	297.438
753.0000	298.417
752.0000	298.688
751.0000	296.859
750.0000	296.985
749.0000	297.719
748.0000	299.978
747.0000	299.006
746.0000	298.521
745.0000	299.523
744.0000	300.581
743.0000	297.521
742.0000	297.926
741.0000	301.106
740.0000	307.162
739.0000	304.416
738.0000	303
737.0000	302.235
736.0000	301.368
735.0000	300.322
734.0000	300.89
733.0000	300.467
732.0000	301.557
731.0000	302.857
730.0000	303.123
729.0000	303.877
728.0000	304.414
727.0000	304.153
726.0000	302.232
725.0000	304.524
724.0000	303.565
723.0000	303.996
722.0000	304.304
721.0000	306.084
720.0000	308.475
719.0000	309.666
718.0000	312.061
717.0000	310.183
716.0000	312.688
715.0000	312.565
714.0000	312.876
713.0000	312.991
712.0000	310.9
711.0000	310.419
710.0000	308.973
709.0000	308.614
708.0000	305.395
707.0000	307.466
706.0000	308.59
705.0000	309.038
704.0000	309.717
703.0000	309.918
702.0000	310.813
701.0000	311.627
700.0000	312.823
699.0000	310.638
698.0000	309.276
697.0000	307.314
696.0000	307.819
695.0000	307.503
694.0000	307.461
693.0000	306.721
692.0000	305.446
691.0000	304.55
690.0000	301.006
689.0000	299.763
688.0000	297.856
687.0000	296.522
686.0000	293.578
685.0000	291.202
684.0000	289.639
683.0000	288.935
682.0000	289.646
681.0000	286.625
680.0000	283.751
679.0000	280.212
678.0000	278.374
677.0000	274.821
676.0000	271.378
675.0000	266.743
674.0000	262.052
673.0000	258.715
672.0000	253.749
671.0000	249.197
670.0000	242.739
669.0000	236.116
668.0000	228.777
667.0000	219.47
666.0000	210.031
665.0000	199.226
664.0000	186.645
663.0000	173.443
662.0000	159.418
661.0000	145.187
660.0000	129.377
659.0000	113.93
658.0000	98.609
657.0000	83.844
656.0000	70.392
655.0000	57.375
654.0000	46.049
653.0000	35.967
652.0000	28.196
651.0000	21.521
650.0000	16.102
649.0000	11.79
648.0000	8.543
647.0000	6.229
646.0000	4.704
645.0000	3.453
644.0000	2.529
643.0000	1.939
642.0000	1.528
641.0000	1.202
640.0000	1.035
639.0000	0.749
638.0000	0.586
637.0000	0.617
636.0000	0.516
635.0000	0.576
634.0000	0.658
633.0000	0.719
632.0000	0.807
631.0000	1.045
630.0000	1.3
629.0000	1.582
628.0000	1.898
627.0000	2.267
626.0000	2.834
625.0000	3.305
624.0000	3.901
623.0000	4.534
622.0000	5.294
621.0000	6.145
620.0000	7.128
619.0000	8.041
618.0000	8.963
617.0000	10.105
616.0000	11.274
615.0000	12.438
614.0000	13.47
613.0000	14.486
612.0000	15.524
611.0000	16.543
610.0000	17.435
609.0000	18.296
608.0000	18.936
607.0000	19.389
606.0000	19.886
605.0000	20.255
604.0000	20.278
603.0000	20.086
602.0000	19.789
601.0000	19.019
600.0000	18.22
599.0000	17.332
598.0000	16.201
597.0000	14.989
596.0000	13.848
595.0000	12.785
594.0000	11.604
593.0000	10.639
592.0000	9.729
