TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	25/03/18
TIME	16:49:31
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	800.0000
LASTX	400.0000
NPOINTS	401
FIRSTY	1.00894
MAXY	1.01595
MINY	0.00104
XYDATA
800.0000	100.894
799.0000	101.301
798.0000	101.595
797.0000	101.413
796.0000	100.809
795.0000	100.088
794.0000	100.226
793.0000	99.97
792.0000	99.502
791.0000	99.4
790.0000	99.82
789.0000	99.355
788.0000	99.433
787.0000	99.634
786.0000	99.4
785.0000	99.272
784.0000	98.873
783.0000	99.267
782.0000	98.616
781.0000	99.182
780.0000	99.342
779.0000	99.029
778.0000	99.119
777.0000	99.097
776.0000	99.072
775.0000	98.801
774.0000	99.289
773.0000	99.041
772.0000	98.955
771.0000	99.722
770.0000	99.546
769.0000	99.827
768.0000	100.007
767.0000	99.582
766.0000	99.219
765.0000	99.394
764.0000	99.29
763.0000	99.257
762.0000	99.114
761.0000	99.125
760.0000	99.263
759.0000	99.457
758.0000	100.033
757.0000	99.715
756.0000	99.882
755.0000	99.745
754.0000	100.157
753.0000	100.217
752.0000	100.201
751.0000	99.98
750.0000	99.146
749.0000	99.843
748.0000	99.854
747.0000	100.034
746.0000	100.096
745.0000	99.873
744.0000	99.702
743.0000	99.824
742.0000	99.302
741.0000	98.066
740.0000	98.509
739.0000	98.358
738.0000	98.512
737.0000	98.931
736.0000	98.832
735.0000	98.783
734.0000	98.993
733.0000	99.398
732.0000	98.858
731.0000	98.52
730.0000	99.007
729.0000	98.722
728.0000	98.713
727.0000	98.822
726.0000	98.002
725.0000	97.958
724.0000	98.137
723.0000	98.689
722.0000	98.287
721.0000	97.768
720.0000	97.71
719.0000	97.768
718.0000	98.375
717.0000	98.115
716.0000	97.684
715.0000	97.622
714.0000	97.713
713.0000	98.296
712.0000	97.814
711.0000	97.162
710.0000	96.982
709.0000	97.274
708.0000	97.29
707.0000	97.069
706.0000	97.109
705.0000	96.6
704.0000	96.497
703.0000	96.597
702.0000	95.897
701.0000	95.34
700.0000	95.292
699.0000	94.833
698.0000	94.232
697.0000	94.118
696.0000	93.773
695.0000	92.996
694.0000	92.864
693.0000	92.584
692.0000	91.789
691.0000	91.372
690.0000	90.767
689.0000	89.854
688.0000	89.143
687.0000	88.651
686.0000	87.526
685.0000	86.313
684.0000	85.712
683.0000	84.995
682.0000	83.996
681.0000	82.855
680.0000	82.293
679.0000	81.185
678.0000	80.42
677.0000	79.434
676.0000	78.034
675.0000	76.342
674.0000	74.617
673.0000	73.342
672.0000	71.372
671.0000	69.716
670.0000	67.513
669.0000	65.323
668.0000	62.707
667.0000	60.137
666.0000	57.673
665.0000	54.429
664.0000	50.866
663.0000	46.931
662.0000	42.891
661.0000	38.68
660.0000	34.576
659.0000	30.389
658.0000	25.996
657.0000	22.041
656.0000	18.259
655.0000	14.866
654.0000	11.898
653.0000	9.299
652.0000	7.126
651.0000	5.339
650.0000	3.978
649.0000	2.868
648.0000	2.071
647.0000	1.471
646.0000	1.036
645.0000	0.761
644.0000	0.518
643.0000	0.361
642.0000	0.273
641.0000	0.198
640.0000	0.172
639.0000	0.152
638.0000	0.132
637.0000	0.11
636.0000	0.104
635.0000	0.108
634.0000	0.116
633.0000	0.119
632.0000	0.162
631.0000	0.189
630.0000	0.236
629.0000	0.28
628.0000	0.35
627.0000	0.436
626.0000	0.543
625.0000	0.705
624.0000	0.86
623.0000	1.047
622.0000	1.256
621.0000	1.504
620.0000	1.773
619.0000	2.054
618.0000	2.353
617.0000	2.651
616.0000	2.958
615.0000	3.256
614.0000	3.55
613.0000	3.848
612.0000	4.167
611.0000	4.429
610.0000	4.699
609.0000	4.907
608.0000	5.094
607.0000	5.26
606.0000	5.414
605.0000	5.472
604.0000	5.442
603.0000	5.42
602.0000	5.304
601.0000	5.179
600.0000	4.948
599.0000	4.655
598.0000	4.347
597.0000	4.039
596.0000	3.729
595.0000	3.409
594.0000	3.1
593.0000	2.803
