TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	25/03/18
TIME	17:34:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	800.0000
LASTX	400.0000
NPOINTS	401
FIRSTY	0.77224
MAXY	0.77820
MINY	0.00607
XYDATA
800.0000	77.224
799.0000	77.201
798.0000	77.537
797.0000	77.734
796.0000	77.512
795.0000	77.82
794.0000	77.508
793.0000	76.609
792.0000	75.945
791.0000	75.911
790.0000	75.864
789.0000	75.891
788.0000	75.634
787.0000	75.625
786.0000	75.837
785.0000	76.032
784.0000	76.082
783.0000	75.72
782.0000	75.479
781.0000	74.898
780.0000	75.328
779.0000	75.573
778.0000	75
777.0000	75.139
776.0000	75.621
775.0000	75.78
774.0000	76.294
773.0000	76.288
772.0000	75.729
771.0000	75.419
770.0000	75.929
769.0000	75.425
768.0000	75.007
767.0000	75.184
766.0000	74.969
765.0000	74.953
764.0000	75.019
763.0000	75.293
762.0000	75.25
761.0000	75.469
760.0000	75.47
759.0000	75.601
758.0000	75.486
757.0000	75.723
756.0000	75.888
755.0000	75.271
754.0000	75.485
753.0000	75.51
752.0000	75.381
751.0000	74.653
750.0000	74.89
749.0000	74.724
748.0000	74.48
747.0000	74.96
746.0000	74.386
745.0000	74.448
744.0000	74.859
743.0000	74.285
742.0000	74.299
741.0000	74.682
740.0000	75.048
739.0000	75.125
738.0000	74.888
737.0000	74.872
736.0000	74.573
735.0000	74.764
734.0000	75.287
733.0000	75.541
732.0000	75.269
731.0000	74.823
730.0000	74.873
729.0000	74.789
728.0000	74.851
727.0000	74.303
726.0000	73.899
725.0000	73.671
724.0000	73.751
723.0000	74.157
722.0000	73.853
721.0000	74.282
720.0000	74.255
719.0000	74.35
718.0000	74.25
717.0000	73.92
716.0000	73.906
715.0000	73.537
714.0000	73.941
713.0000	73.554
712.0000	73.668
711.0000	73.538
710.0000	73.901
709.0000	73.869
708.0000	73.593
707.0000	73.51
706.0000	73.213
705.0000	73.098
704.0000	72.728
703.0000	72.733
702.0000	72.268
701.0000	72.171
700.0000	71.993
699.0000	72.124
698.0000	71.769
697.0000	71.523
696.0000	71.29
695.0000	70.748
694.0000	70.536
693.0000	70.218
692.0000	70.289
691.0000	69.887
690.0000	69.783
689.0000	69.655
688.0000	69.446
687.0000	69.166
686.0000	68.8
685.0000	68.528
684.0000	67.884
683.0000	67.491
682.0000	67.178
681.0000	66.849
680.0000	66.229
679.0000	65.862
678.0000	65.465
677.0000	65.047
676.0000	64.788
675.0000	64.277
674.0000	63.508
673.0000	62.599
672.0000	61.944
671.0000	61.098
670.0000	60.119
669.0000	59.223
668.0000	58.017
667.0000	56.476
666.0000	55.303
665.0000	53.789
664.0000	51.88
663.0000	49.816
662.0000	47.526
661.0000	44.886
660.0000	41.945
659.0000	39.118
658.0000	35.626
657.0000	32.261
656.0000	28.951
655.0000	25.483
654.0000	22.036
653.0000	18.678
652.0000	15.716
651.0000	12.871
650.0000	10.473
649.0000	8.374
648.0000	6.566
647.0000	5.115
646.0000	3.971
645.0000	3.066
644.0000	2.347
643.0000	1.801
642.0000	1.391
641.0000	1.113
640.0000	0.904
639.0000	0.779
638.0000	0.698
637.0000	0.629
636.0000	0.607
635.0000	0.613
634.0000	0.644
633.0000	0.706
632.0000	0.787
631.0000	0.899
630.0000	1.011
629.0000	1.174
628.0000	1.348
627.0000	1.557
626.0000	1.807
625.0000	2.065
624.0000	2.389
623.0000	2.724
622.0000	3.081
621.0000	3.463
620.0000	3.888
619.0000	4.315
618.0000	4.75
617.0000	5.203
616.0000	5.612
615.0000	6.035
614.0000	6.472
613.0000	6.874
612.0000	7.268
611.0000	7.69
610.0000	8.08
609.0000	8.464
608.0000	8.832
607.0000	9.13
606.0000	9.405
605.0000	9.643
604.0000	9.852
603.0000	9.956
602.0000	9.976
601.0000	9.911
600.0000	9.758
599.0000	9.564
598.0000	9.244
597.0000	8.886
596.0000	8.435
595.0000	7.978
594.0000	7.559
593.0000	7.113
592.0000	6.701
