Wavelength	OD
196.210000 -0.000138
197.010000 -0.005407
197.810000 -0.001895
198.610000 -0.000987
199.410000 -0.000463
200.210000 -0.000373
201.010000 -0.000482
201.810000 -0.000078
202.610000 -0.001114
203.410000 -0.000169
204.220000 -0.001810
205.020000 0.000248
205.820000 0.001856
206.620000 -0.002432
207.420000 -0.003666
208.220000 -0.002600
209.020000 -0.003320
209.820000 -0.003455
210.620000 -0.000610
211.420000 0.001336
212.220000 0.001408
213.020000 0.000851
213.820000 0.000111
214.610000 0.001231
215.410000 0.000759
216.210000 0.000947
217.010000 0.000757
217.810000 -0.001810
218.610000 -0.000625
219.410000 -0.002098
220.210000 -0.002147
221.010000 -0.003012
221.810000 -0.000482
222.610000 -0.001334
223.410000 0.000336
224.200000 -0.012943
225.000000 -0.012363
225.800000 -0.012868
226.600000 -0.015399
227.400000 -0.016249
228.200000 -0.004908
228.990000 -0.005818
229.790000 -0.001109
230.590000 0.004253
231.390000 0.003016
232.190000 0.001942
232.980000 0.002970
233.780000 -0.001025
234.580000 -0.001116
235.380000 0.001398
236.180000 0.001936
236.970000 0.001408
237.770000 0.001446
238.570000 0.000384
239.370000 -0.001356
240.160000 -0.002384
240.960000 -0.003393
241.760000 -0.012123
242.550000 -0.010511
243.350000 -0.009832
244.150000 -0.008597
244.940000 0.007499
245.740000 0.013183
246.540000 0.012461
247.330000 0.012861
248.130000 0.012534
248.930000 -0.002802
249.720000 -0.001448
250.520000 -0.002617
251.320000 -0.002785
252.110000 -0.003136
252.910000 -0.000274
253.700000 -0.000268
254.500000 0.002644
255.300000 0.002951
256.090000 0.002323
256.890000 -0.000177
257.680000 -0.001277
258.480000 -0.003289
259.270000 -0.003632
260.070000 -0.001600
260.870000 -0.001550
261.660000 -0.001924
262.460000 -0.001480
263.250000 -0.000549
264.050000 -0.002172
264.840000 -0.000774
265.640000 0.000577
266.430000 0.000162
267.230000 -0.000709
268.020000 -0.001395
268.810000 -0.002748
269.610000 -0.002938
270.400000 -0.002781
271.200000 -0.000475
271.990000 0.000434
272.790000 0.000963
273.580000 0.000547
274.380000 0.000646
275.170000 -0.001318
